Assay_Type_s	BRD_affected_or_healthy_s	Beef_or_dairy_s	BioSample_s	Calf_ID_s	Experiment_s	Lesions_s	LibrarySelection_s	Library_Name_s	Library_type_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	Tissue_s	geo_loc_name_s	isolation_source_s	lat_lon_s	preservation_s	AvgSpotLen_l	BioProject_s	BioSampleModel_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	collection_date_s	host_s
AMPLICON	BRD	Beef	SAMN05463268	15	SRX1988751	yes	PCR	15LNBeef	amplicon	16	8	SRR3986723	SRS1592523	15LNBeef	lymph node	Ireland: Athlone	Mediastinal lymph node tissue	53.4458813 N 7.9345309 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463269	16	SRX1988752	yes	PCR	16LBeef	amplicon	10	5	SRR3986724	SRS1592526	16LBeef	lung	Ireland: Athlone	Lung tissue (cranial lobe)	53.4458813 N 7.9345309 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463270	16	SRX1988753	yes	PCR	16LNBeef	amplicon	7	4	SRR3986725	SRS1592525	16LNBeef	lymph node	Ireland: Athlone	Mediastinal lymph node tissue	53.4458813 N 7.9345309 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463271	17	SRX1988755	yes	PCR	17LBeef	amplicon	15	8	SRR3986726	SRS1592527	17LBeef	lung	Ireland: Athlone	Lung tissue (cranial lobe)	53.4458813 N 7.9345309 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463272	17	SRX1988756	yes	PCR	17LNBeef	amplicon	11	6	SRR3986727	SRS1592528	17LNBeef	lymph node	Ireland: Athlone	Mediastinal lymph node tissue	53.4458813 N 7.9345309 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463273	18	SRX1988757	yes	PCR	18LBeef	amplicon	11	5	SRR3986728	SRS1592529	18LBeef	lung	Ireland: Athlone	Lung tissue (cranial lobe)	53.4458813 N 7.9345309 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463274	18	SRX1988758	yes	PCR	18LNBeef	amplicon	5	2	SRR3986729	SRS1592530	18LNBeef	lymph node	Ireland: Athlone	Mediastinal lymph node tissue	53.4458813 N 7.9345309 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463248	4	SRX1988759	yes	PCR	4LBeef	amplicon	14	6	SRR3986730	SRS1592531	4LBeef	lung	Ireland: Sligo	Lung tissue (cranial lobe)	54.2951862 N 8.435996 W	Frozen	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463275	19	SRX1988760	yes	PCR	19LBeef	amplicon	10	5	SRR3986731	SRS1592532	19LBeef	lung	Ireland: Kilkenny	Lung tissue (cranial lobe)	52.657619 N 7.232779 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463276	19	SRX1988761	yes	PCR	19LNBeef	amplicon	6	3	SRR3986732	SRS1592533	19LNBeef	lymph node	Ireland: Kilkenny	Mediastinal lymph node tissue	52.657619 N 7.232779 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Dairy	SAMN05463277	20	SRX1988762	yes	PCR	20LDairy	amplicon	15	7	SRR3986733	SRS1592534	20LDairy	lung	Ireland: Kilkenny	Lung tissue (cranial lobe)	52.657619 N 7.232779 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Dairy	SAMN05463278	20	SRX1988763	yes	PCR	20LNDairy	amplicon	7	4	SRR3986734	SRS1592535	20LNDairy	lymph node	Ireland: Kilkenny	Mediastinal lymph node tissue	52.657619 N 7.232779 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463279	21	SRX1988764	yes	PCR	21LBeef	amplicon	9	5	SRR3986735	SRS1592536	21LBeef	lung	Ireland: Kilkenny	Lung tissue (cranial lobe)	52.657619 N 7.232779 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463280	21	SRX1988765	yes	PCR	21LNBeef	amplicon	19	9	SRR3986737	SRS1592537	21LNBeef	lymph node	Ireland: Kilkenny	Mediastinal lymph node tissue	52.657619 N 7.232779 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463281	22	SRX1988766	yes	PCR	22LBeef	amplicon	10	5	SRR3986738	SRS1592538	22LBeef	lung	Ireland: Kilkenny	Lung tissue (cranial lobe)	52.657619 N 7.232779 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463282	22	SRX1988767	yes	PCR	22LNBeef	amplicon	11	6	SRR3986739	SRS1592539	22LNBeef	lymph node	Ireland: Kilkenny	Mediastinal lymph node tissue	52.657619 N 7.232779 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463283	23	SRX1988768	yes	PCR	23LBeef	amplicon	17	8	SRR3986740	SRS1592540	23LBeef	lung	Ireland: Kilkenny	Lung tissue (cranial lobe)	52.657619 N 7.232779 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463284	23	SRX1988769	yes	PCR	23LNBeef	amplicon	9	5	SRR3986741	SRS1592541	23LNBeef	lymph node	Ireland: Kilkenny	Mediastinal lymph node tissue	52.657619 N 7.232779 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463249	5	SRX1988770	yes	PCR	5LBeef	amplicon	14	8	SRR3986742	SRS1592542	5LBeef	lung	Ireland: Sligo	Lung tissue (cranial lobe)	54.2951862 N 8.435996 W	Frozen	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463285	24	SRX1988771	yes	PCR	24LBeef	amplicon	20	10	SRR3986743	SRS1592543	24LBeef	lung	Ireland: Sligo	Lung tissue (cranial lobe)	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463286	24	SRX1988772	yes	PCR	24LNBeef	amplicon	13	7	SRR3986744	SRS1592544	24LNBeef	lymph node	Ireland: Sligo	Mediastinal lymph node tissue	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463287	25	SRX1988773	yes	PCR	25LBeef	amplicon	17	9	SRR3986745	SRS1592545	25LBeef	lung	Ireland: Sligo	Lung tissue (cranial lobe)	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463288	25	SRX1988774	yes	PCR	25LNBeef	amplicon	17	8	SRR3986746	SRS1592546	25LNBeef	lymph node	Ireland: Sligo	Mediastinal lymph node tissue	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463289	26	SRX1988775	yes	PCR	26LBeef	amplicon	14	8	SRR3986747	SRS1592547	26LBeef	lung	Ireland: Sligo	Lung tissue (cranial lobe)	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463290	26	SRX1988776	yes	PCR	26LNBeef	amplicon	17	10	SRR3986748	SRS1592548	26LNBeef	lymph node	Ireland: Sligo	Mediastinal lymph node tissue	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463291	27	SRX1988777	yes	PCR	27LBeef	amplicon	12	6	SRR3986749	SRS1592549	27LBeef	lung	Ireland: Sligo	Lung tissue (cranial lobe)	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463292	27	SRX1988778	yes	PCR	27LNBeef	amplicon	10	6	SRR3986750	SRS1592550	27LNBeef	lymph node	Ireland: Sligo	Mediastinal lymph node tissue	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463293	28	SRX1988779	yes	PCR	28LBeef	amplicon	25	12	SRR3986751	SRS1592551	28LBeef	lung	Ireland: Sligo	Lung tissue (cranial lobe)	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463294	28	SRX1988780	yes	PCR	28LNBeef	amplicon	18	10	SRR3986752	SRS1592552	28LNBeef	lymph node	Ireland: Sligo	Mediastinal lymph node tissue	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463250	6	SRX1988781	yes	PCR	6LBeef	amplicon	5	3	SRR3986753	SRS1592553	6LBeef	lung	Ireland: Sligo	Lung tissue (cranial lobe)	54.2951862 N 8.435996 W	Frozen	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463295	29	SRX1988782	yes	PCR	29Lbeef	amplicon	8	5	SRR3986754	SRS1592554	29Lbeef	lung	Ireland: Sligo	Lung tissue (cranial lobe)	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463296	29	SRX1988783	yes	PCR	29LNBeef	amplicon	7	4	SRR3986755	SRS1592555	29LNBeef	lymph node	Ireland: Sligo	Mediastinal lymph node tissue	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463297	30	SRX1988784	yes	PCR	30Lbeef	amplicon	7	4	SRR3986756	SRS1592556	30Lbeef	lung	Ireland: Sligo	Lung tissue (cranial lobe)	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463298	30	SRX1988785	yes	PCR	30LNBeef	amplicon	4	2	SRR3986757	SRS1592557	30LNBeef	lymph node	Ireland: Sligo	Mediastinal lymph node tissue	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463299	31	SRX1988786	yes	PCR	31LBeef	amplicon	14	7	SRR3986758	SRS1592558	31LBeef	lung	Ireland: Sligo	Lung tissue (cranial lobe)	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
